Gen,Fuente,Prioridad
FLI1,PanelApp_545,1
F5,PanelApp_545,1
F2,PanelApp_545,1
GGCX,PanelApp_545,1
GFI1B,PanelApp_545,1
GBA,PanelApp_545,1
GATA1,PanelApp_545,1
FYB1,PanelApp_545,1
FLNA,PanelApp_545,1
F7,PanelApp_545,1
FGG,PanelApp_545,1
TBXAS1,PanelApp_175,1
TBXA2R,PanelApp_175,1
STXBP2,PanelApp_175,1
STIM1,PanelApp_175,1
SRC,PanelApp_175,1
SMAD4,PanelApp_175,1
SLFN14,PanelApp_175,1
F10,PanelApp_545,1
CDC42,PanelApp_545,1
BLOC1S6,PanelApp_545,1
BLOC1S5,PanelApp_545,1
BLOC1S3,PanelApp_545,1
F13B,PanelApp_545,1
F13A1,PanelApp_545,1
F12,PanelApp_545,1
F11,PanelApp_545,1
SLC45A2,PanelApp_175,1
ETV6,PanelApp_545,1
ENG,PanelApp_545,1
DTNBP1,PanelApp_545,1
FGB,PanelApp_545,1
FGA,PanelApp_545,1
FERMT3,PanelApp_545,1
F9,PanelApp_545,1
F8,PanelApp_545,1
NBEA,PanelApp_175,1
KNG1,PanelApp_175,1
KLKB1,PanelApp_175,1
KDSR,PanelApp_175,1
ITGB3,PanelApp_175,1
ITGA2B,PanelApp_175,1
IKZF5,PanelApp_175,1
HRG,PanelApp_175,1
HPS6,PanelApp_175,1
ACTN1,PanelApp_545,1
MYH9,PanelApp_175,1
MPL,PanelApp_175,1
MPIG6B,PanelApp_175,1
MECOM,PanelApp_175,1
MCFD2,PanelApp_175,1
LYST,PanelApp_175,1
LMAN1,PanelApp_175,1
PTPN11,PanelApp_175,1
ACTB,PanelApp_545,1
WAS,PanelApp_175,1
VWF,PanelApp_175,1
VPS33B,PanelApp_175,1
VKORC1,PanelApp_175,1
VIPAS39,PanelApp_175,1
TUBB1,PanelApp_175,1
THPO,PanelApp_175,1
THBD,PanelApp_175,1
CHST14,PanelApp_545,1
ABCG8,PanelApp_545,1
ABCG5,PanelApp_545,1
ARPC1B,PanelApp_545,1
AP3D1,PanelApp_545,1
AP3B1,PanelApp_545,1
ANO6,PanelApp_545,1
ANKRD26,PanelApp_545,1
ACVRL1,PanelApp_545,1
SERPINF2,PanelApp_545,1
TPM4,PanelApp_545,1
TNXB,PanelApp_545,1
ADAMTS13,ClinGen,1
SERPINE1,ClinGen,1
PROC,ClinGen,1
DIAPH1,ClinGen,1
COL3A1,ClinGen,1
HPS4,PanelApp_545,1
EPHB4,ClinGen,1
RBM8A,PanelApp_545,1
RUNX1,PanelApp_545,1
RASGRP2,PanelApp_545,1
PTGS1,PanelApp_545,1
PLAU,PanelApp_545,1
PLA2G4A,PanelApp_545,1
P2RY12,PanelApp_545,1
CYCS,PanelApp_545,1
HPS3,PanelApp_545,1
HPS1,PanelApp_545,1
GP9,PanelApp_545,1
GP6,PanelApp_545,1
GP1BB,PanelApp_545,1
GP1BA,PanelApp_545,1
GNE,PanelApp_545,1
HPS5,PanelApp_545,1
NBEAL2,PanelApp_545,1
PLG,ClinGen,1
HBB,ClinGen,1
COL1A1,PanelApp_175,1
COL5A1,PanelApp_175,1
COL5A2,PanelApp_175,1
PIGA,PanelApp_516,1
PROS1,PanelApp_516,1
AHCY,ClinGen,1
CP,ClinGen,1
EGLN1,ClinGen,1
HFE,ClinGen,1
TFR2,ClinGen,1
HJV,ClinGen,1
HAMP,ClinGen,1
SERPINC1,ClinGen,1
RNU4ATAC,PanelApp_175,1
SERPIND1,PanelApp_175,1
PLAT,PanelApp_175,1
HOXA11,PanelApp_175,1
TUBA4A,PanelApp_545,2
EPHB2,ClinGen,2
